2019-10-10 17:28:03,692 [INFO ]	Phylogeny = OG0000063
2019-10-10 17:28:03,694 [INFO ]	Nodes = 50
2019-10-10 17:28:03,695 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:03,733 [INFO ]	Species overlap score = 0, num speciation events = 239
2019-10-10 17:28:03,746 [INFO ]	Run MCL, num clusters = 16
2019-10-10 17:28:03,756 [INFO ]	Phylogeny = OG0000064
2019-10-10 17:28:03,758 [INFO ]	Nodes = 50
2019-10-10 17:28:03,758 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:03,793 [INFO ]	Species overlap score = 0, num speciation events = 152
2019-10-10 17:28:03,807 [INFO ]	Run MCL, num clusters = 8
2019-10-10 17:28:03,817 [INFO ]	Phylogeny = OG0000065
2019-10-10 17:28:03,820 [INFO ]	Nodes = 50
2019-10-10 17:28:03,820 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:03,854 [INFO ]	Species overlap score = 0, num speciation events = 222
2019-10-10 17:28:03,868 [INFO ]	Run MCL, num clusters = 5
2019-10-10 17:28:03,879 [INFO ]	Phylogeny = OG0000066
2019-10-10 17:28:03,881 [INFO ]	Nodes = 50
2019-10-10 17:28:03,882 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:03,913 [INFO ]	Species overlap score = 0, num speciation events = 132
2019-10-10 17:28:03,926 [INFO ]	Run MCL, num clusters = 11
2019-10-10 17:28:03,936 [INFO ]	Phylogeny = OG0000067
2019-10-10 17:28:03,940 [INFO ]	Nodes = 49
2019-10-10 17:28:03,941 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:03,980 [INFO ]	Species overlap score = 0, num speciation events = 134
2019-10-10 17:28:03,993 [INFO ]	Run MCL, num clusters = 10
2019-10-10 17:28:04,004 [INFO ]	Phylogeny = OG0000068
2019-10-10 17:28:04,007 [INFO ]	Nodes = 49
2019-10-10 17:28:04,008 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:04,055 [INFO ]	Species overlap score = 0, num speciation events = 211
2019-10-10 17:28:04,070 [INFO ]	Run MCL, num clusters = 6
